THP,delT_at_I0=0.0A,delT_at_I0=0.5A,delT_at_I0=1.0A,delT_at_I0=1.5A,delT_at_I0=2.0A,
323.15,29.99934336889214,29.99932441903428,29.9992891588999,29.999236021755962,29.999165888690868,
373.15,79.99821330570381,79.99819364688204,79.9981572788347,79.99810333344601,79.99803227106219,
423.15,129.99711991319185,129.99709948866405,129.99706246885933,129.99700755840917,129.99693545896673,
473.15,179.99607647818726,179.9960552041489,179.99601650063698,179.99596140693728,179.9958881504284,
523.15,229.9950700334819,229.99504764594963,229.99500811375293,229.99495101192934,229.99487752659348,
573.15,279.99408277143027,279.99405938981374,279.99401880598043,279.99396053810926,279.99388479330173,
623.15,329.9931037485959,329.9930792773089,329.9930374042253,329.9929781911004,329.99290118119075,
673.15,379.99212798546455,379.99210246049137,379.99205950896953,379.991999169724,379.9919209709213,
723.15,429.9911515740804,429.99112505359597,429.99108105217505,429.9910196452707,429.99094030765076,
773.15,479.99016986097627,479.9901423925274,479.9900973912264,479.9900346376975,479.9899544503654,
