THP,Max_Power_S,Max_Power_HC,Max_Power_HH,Max_Power_HM,Seebeck_Coefficient_S,Seebeck_Coefficient_HC,Seebeck_Coefficient_HH,Seebeck_Coefficient_HM
323.15,6.812012313959519e-08,1.3903253641686868e-07,3.3884742947519346e-07,3.3894934518638754e-07,-1.5769674046649873e-05,-1.57252148682875e-05,-1.5648211655699508e-05,-1.565632618266718e-05
373.15,5.54651469993357e-07,1.0911692386677765e-06,2.4630859192152637e-06,2.5675941235526235e-06,-1.7819039412715892e-05,-1.7700288050207195e-05,-1.7458507900363763e-05,-1.748169962100086e-05
423.15,1.931375802581619e-06,3.763094315891519e-06,8.2882407211389e-06,8.670378093804397e-06,-1.9934498838009822e-05,-1.9754599653724277e-05,-1.9374883476616522e-05,-1.941076277471864e-05
473.15,4.630768222597891e-06,8.93545656125542e-06,1.935880007511462e-05,2.0345721742624378e-05,-2.192353453518292e-05,-2.168091928776647e-05,-2.116930693912542e-05,-2.1216672204289662e-05
523.15,9.232388652858647e-06,1.75907520214704e-05,3.734883129401603e-05,3.950887034053715e-05,-2.389799050467663e-05,-2.3581855442500185e-05,-2.2918547877990446e-05,-2.2978795018691134e-05
573.15,1.6557648108781707e-05,3.126862887678369e-05,6.474249651923718e-05,6.888025170385649e-05,-2.5852158642308507e-05,-2.547566957119972e-05,-2.4664022390592753e-05,-2.473786250868543e-05
623.15,2.672155479045998e-05,5.070606531910595e-05,0.00010420746462943242,0.00011114083943469845,-2.764083561043138e-05,-2.7240309755401427e-05,-2.6339058879438403e-05,-2.6422747852263097e-05
673.15,3.873017295477697e-05,7.447912140316167e-05,0.0001559682849090063,0.00016612440388974651,-2.91333362197949e-05,-2.875063388357016e-05,-2.784200532729641e-05,-2.7929142960146565e-05
723.15,5.115853088601649e-05,9.991482494858638e-05,0.00021574145332300482,0.00022914418368871008,-3.024299764419112e-05,-2.9921627003050263e-05,-2.9091641993222516e-05,-2.9174987769244842e-05
773.15,6.285548695428178e-05,0.00012440144743159577,0.0002777996440690267,0.00029401146744220983,-3.08865199262272e-05,-3.067767348148119e-05,-3.002191215159381e-05,-3.0093845922448312e-05
