THP,Max_Power_S,Max_Power_HC,Max_Power_HH,Max_Power_HM
323.15,6.812012313959519e-08,1.3903253641686868e-07,3.3884742947519346e-07,3.3894934518638754e-07
373.15,5.54651469993357e-07,1.0911692386677765e-06,2.4630859192152637e-06,2.5675941235526235e-06
423.15,1.931375802581619e-06,3.763094315891519e-06,8.2882407211389e-06,8.670378093804397e-06
473.15,4.630768222597891e-06,8.93545656125542e-06,1.935880007511462e-05,2.0345721742624378e-05
523.15,9.232388652858647e-06,1.75907520214704e-05,3.734883129401603e-05,3.950887034053715e-05
573.15,1.6557648108781707e-05,3.126862887678369e-05,6.474249651923718e-05,6.888025170385649e-05
623.15,2.672155479045998e-05,5.070606531910595e-05,0.00010420746462943242,0.00011114083943469845
673.15,3.873017295477697e-05,7.447912140316167e-05,0.0001559682849090063,0.00016612440388974651
723.15,5.115853088601649e-05,9.991482494858638e-05,0.00021574145332300482,0.00022914418368871008
773.15,6.285548695428178e-05,0.00012440144743159577,0.0002777996440690267,0.00029401146744220983
