THP,Seebeck_Coefficient_S,Seebeck_Coefficient_HC,Seebeck_Coefficient_HH,Seebeck_Coefficient_HM
323.15,-1.5769674046649873e-05,-1.57252148682875e-05,-1.5648211655699508e-05,-1.565632618266718e-05
373.15,-1.7819039412715892e-05,-1.7700288050207195e-05,-1.7458507900363763e-05,-1.748169962100086e-05
423.15,-1.9934498838009822e-05,-1.9754599653724277e-05,-1.9374883476616522e-05,-1.941076277471864e-05
473.15,-2.192353453518292e-05,-2.168091928776647e-05,-2.116930693912542e-05,-2.1216672204289662e-05
523.15,-2.389799050467663e-05,-2.3581855442500185e-05,-2.2918547877990446e-05,-2.2978795018691134e-05
573.15,-2.5852158642308507e-05,-2.547566957119972e-05,-2.4664022390592753e-05,-2.473786250868543e-05
623.15,-2.764083561043138e-05,-2.7240309755401427e-05,-2.6339058879438403e-05,-2.6422747852263097e-05
673.15,-2.91333362197949e-05,-2.875063388357016e-05,-2.784200532729641e-05,-2.7929142960146565e-05
723.15,-3.024299764419112e-05,-2.9921627003050263e-05,-2.9091641993222516e-05,-2.9174987769244842e-05
773.15,-3.08865199262272e-05,-3.067767348148119e-05,-3.002191215159381e-05,-3.0093845922448312e-05
